product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,social connectedness,environment,self_sufficiency,transparency_authenticity,tradition,individuality,diversity_equality,privacy,status,thrift_value,innovation,fun_adventure,health
"Charades Ninja Warrior Set Costume Accessory, One Size",Apparel,4,0,0,N,Y,it is a very good prop for a costume,"For what it is, it is a very good prop for a costume. The sheath for the sword had some damage to it but unless you are looking at it closely, it is not too noticeable. Super fast shipping and the packaging was great.",6/24/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Mud Pie Baby-Girls Chiffon Bloomers,Apparel,5,0,0,N,Y,Five Stars,"good quality, fit comfortably on my babies",8/18/2015,1,0,0,0,0,0,0,0,0,1,0,0,0
Levi's Girls' Skinny Jean,Apparel,5,0,1,N,Y,Five Stars,fine,2/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
NY Collection Women's Plus-Size B-Slim Cross-Front Dress,Apparel,5,0,1,N,Y,wonderful fit,Being plus size had always been a negative shopping experience for me. Buying this dress online is the best experience. The dress not only fits perfect its slim fit design makes me look slimmer. Will surely go in for some more of the like.,2/26/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
WearAll Women's Off-Shoulder Batwing Top,Apparel,3,0,0,N,Y,light & airy,love that its light and airy. It does fit a little large.<br />Received item within the time expected. Thank you,5/11/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
Sofra Women's 247 Frenzy Solid Microfiber Plain Bra with Ply Over Cup Design (6 Pack),Apparel,5,0,1,N,Y,love love it!!,"Got them way before expected, i live in Antigua. Love love them!!They fit perfectly. I love them!!!",9/10/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
1 Piece Baby Girls Ruffle Flower Elastic Lace Hair Decor Hairband Headband,Apparel,5,0,0,N,N,Five Stars,Sooo Cute!!!,7/8/2014,0,0,0,0,0,1,0,0,0,0,0,0,0
NEW ERA 9FIFTY LBJ Volt Cleveland Cavaliers PU Black Snapback,Apparel,4,0,0,N,Y,Four Stars,Love this hat!Great neon and the leather sets it off!,12/26/2014,0,0,0,0,0,1,0,0,0,0,0,0,0
Calvin Klein Men's Underwear Cotton Classics Boxer Briefs - (Pack of 3),Apparel,3,0,1,N,N,Too large,"They were good, but too large.",10/8/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
LE3NO Womens Fitted Round Neck Long Sleeve Henley Thermal Shirt,Apparel,1,0,0,N,Y,save your $$,"I ordered a large so it would fit a bit loose, the fit was okay but not loose, the bigger problem was the length it was very short and one of the snaps came off on the first wear.",11/22/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
Active Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top,Apparel,5,0,0,N,Y,Five Stars,Exactly what I needed and expected cami to be. Also very soft and fits well.,7/27/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
PenSee Mens Solid Self Bow Tie Jacquard Woven Silk Plain Bow Ties-Various Colors,Apparel,5,0,0,N,Y,"A great, cheap (in price only)","Described by my girlfriend as a &#34;fire truck red&#34;, wore it to a formal event and it looked very classy, not cheap whatsoever. A great, cheap (in price only), quality bowtie",8/12/2015,1,0,0,0,0,1,0,0,0,1,0,0,0
"Beautyko Gel-lined Compression Toe Separating Socks, Pair, White, One Size",Apparel,4,0,0,N,Y,Just what the Doctor ordered!,Just a little hard to clean but my feet thank you for these comfortable pair of feet cushions!!,10/18/2014,0,0,0,0,0,0,0,0,0,1,0,0,1
Gerber Baby Two-Pack of Infant Sleepers,Apparel,5,0,0,N,N,"... Fit as expected, so fast ...","...Fit as expected, so fast my dellivery. A++",1/22/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerber Baby Boys' 5 Pack Onesies,Apparel,5,0,0,N,Y,I gave this to my Great Gandson when he was born,I gave this to my Great Gandson when he was born. Gerber products are great and the sports theme is very nice on these onesies.,7/13/2014,1,0,0,0,0,1,0,0,1,1,0,0,0
OshKosh B'Gosh Little Girls' Red White Blue Stripe Ruffle Jersey Dress 6X,Apparel,5,0,0,N,Y,OshKosh Dress,Granddaughter wore this for 4th of July. True to size and very comfortable.,8/16/2015,1,0,0,0,0,0,0,0,0,1,0,0,0
Womens Cotton Blend Ribbed Dress Socks Value Assorted 6-Pack,Apparel,3,0,0,N,Y,"OK value, not what I was hoping for",This was a gift for my sister but she's not pleased with the product so I guess I can't recommend it.,12/1/2013,1,0,0,0,0,0,0,0,0,0,0,0,0
Womens I Pooped Today T-Shirt,Apparel,4,0,0,N,N,just a t-shirt I bought for fun,simply I think poop is funny and when I saw the shirt I laughed out loud I had to have it. It fits well.,10/30/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
ANDI ROSE Women Sexy Lingerie Corset Dress Stockings G-string Outfit Set (ANDI ROSE Purple),Apparel,1,0,0,N,Y,WASTE OF MONEY!!!!,Gave this one star too many. Product took almost 2 months to arrive and when it did come it was miniscule in size. I measured myself carefully and ordered the largest size available and it still wouldn't fit anyone more than a size 2. Im a size 6. TOTAL WASTE OF MONEY!!!!!,4/20/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Levi's Women's 512 Bootcut Jean,Apparel,4,0,0,N,Y,A bit bigger but quality is good,"Jeans is nice and perfect, only a bit bigger than my size and I will tailor the extra. Price is nice as jeans.<br />Thank you and will browse/buy your product again. Totoally recommend your product.",10/3/2013,1,0,0,0,0,0,0,0,0,1,0,0,0
Grin&Bear Men's Hooded Polo Shirt,Apparel,2,0,0,N,Y,Not quite for me,Not sure I quite like the look and I am a big fan of hoodies,2/26/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropical Garden Design Chiffon Summer Scarf - Colors Available,Apparel,4,0,0,N,Y,Lovely,"Lighterweight than I thought, and thin, but pretty, with many colors so I can use it with so many different outfits!",6/9/2011,0,0,0,0,0,1,0,0,0,1,0,0,0
Wrangler RIGGS WORKWEAR Men's Ranger Pant,Apparel,5,0,0,N,Y,"A solid, well designed and durable work pant","I am pleasantly surprised with the overall quality of these pants. I have yet to wash them and hope they will not shrink. The length is on the long side for the size which is good. They are a cheaper alternative to the often overpriced Carhartt offerings which seem to have gone down in quality. If you are looking for a durable work pant, you will not be disappointed.",12/15/2014,0,0,0,0,0,0,0,0,1,1,0,0,0
T-cottons Little Girls 100% Cotton Scoop neck Undershirt In White (4 Pack),Apparel,5,0,0,N,Y,Awesome tops,"Great product,great service,fast shipping...love these tops and will buy more for sure!!!",11/8/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanu Surf Women's Marina Boardshort,Apparel,3,0,0,N,Y,they are nice shorts though,The first ones i ordered where too big so i ordered a smaller size but was just as big as the first all though it had a smaller number on it. they are nice shorts though. i will take them in on the sides as much as I can.,6/4/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Disney Baby-Girls Newborn Minnie Mouse My First Christmas Romper,Apparel,5,0,0,N,Y,It's adorable!,It is adorable! The sleeper and blanket were both really cute. The blanket was a bit smaller than I expected but otherwise I was completely satisfied.,9/17/2013,0,0,0,0,0,1,0,0,0,1,0,0,0
SPANX Core High Rise Bottom Swimwear (1366) 16/Black,Apparel,5,0,1,N,Y,Gives a wedgy,Go a size up or you will have a major Wedgy they do hold you in just can't stand the Wedgy,7/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,1
LeSportsac Madison Cross-Body Handbag,Apparel,5,0,0,N,N,Love love love,"Love love love!! Perfect size.. For a diaper,wallet, phone,snacks, baby bottle & more.. I also have the smaller size down and it's just too small I think it's the Hailey? This one is perfect!!",10/24/2014,0,0,0,0,0,0,0,0,1,1,0,0,0
82 Days Women'S Rayon Span High & Low Short Sleeves Tunic - Solid,Apparel,5,2,2,N,Y,Fits great! I'm 5'8 and 160 lb,Fits great! I'm 5'8 and 160 lb. Fit is a little loose. Great with leggings. Really soft material. Wrinkles a little easy but doesn't bother me. Nice thicker material.,2/21/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Fairy Tail Natsu Gray Lucy Hoodie Jacket Costume,Apparel,1,2,2,N,Y,DON'T BUY IF YOU'RE A LARGE,"If you're normally a size large or higher DO NOT buy this hoodie. The sizes are actually 2 sizes smaller than normal hoodies. I'm normally a size large, sometimes medium, and I ordered an XXL large hoodie and it was still too small on me.",1/8/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
SSLR Men's Military Operator Tactical Flat Front Classic Fit Casual Cargo Pants,Apparel,4,0,2,N,Y,... Buying this item because the Reviews From Previous buyers Sucked!! So im going to give yu guys ...,"I Had 2 Take a Risk on Buying this item because the Reviews From Previous buyers Sucked!! So im going to give yu guys a good description. I Received the khaki Sslr cargo pants in The mail today size 31 The Pants are a Tad khakier then shown above (not a con) the material Is thin and can rip easily (Con) But If your a slim person No worries... If yu wear a 31 (Which I Do) I Suggest yu order a size 32 They fit jus. Right a little more room wouldn have hurt me other then that,,,,... NICE Pants",6/15/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"Womens Fleece Lined Winter Leggings Many Colors, Plus Size Available (S/M, Black)",Apparel,1,1,1,N,Y,product was dry rotted,i received this product dry totted upon delivery. it was a complete waste of money. i would not spend any money for this product that ripped as it came out of the package and smelled old like mildew.,11/10/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
Cool-jams Moisture Wicking Scoop Neck Nightshirt (S-3X),Apparel,4,3,4,N,Y,Works great!,This sports bra runs nearly 2 sizes small compared to other Champion sports bras I've purchase before. There is no give in the elastic band around the chest making it awkward to put on... even more challenging to take off - unless you are a contortionist. Typically I wear an XL (36D) in Champion Sports Bras; I was seriously disappointed with this &#34;Absolute Workout&#34; model. I was able to get the bra on and the sisters were not going anywhere... but I wouldn't go anywhere in this bra either. I would return it if I spent more on it.,2/1/2015,0,0,0,0,0,0,0,0,0,1,1,0,1
Champion Women's Absolute Workout Sport Bra,Apparel,2,0,0,N,Y,Not Like Other Champion Sports Bras,,5/8/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
Urban Classics Men's TB523 Jersey Zig Zag Hoodie,Apparel,3,0,0,N,N,Good quality,Very tight in the arms for a large :/. Good quality tho,9/27/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
Little Hand Womens Embroidery Skeleton Skull Loose Bat Sleeve T-shirt,Apparel,1,0,0,N,Y,Shame on me for not reading prior reviews...how could this possibly be for a 42 inch bust???,"Buyer beware...these so called plus size shirts are for children. I am not sure what child has a 42 inch bust though. Also the picture shows a woven sweater type material with a loose fit, however what I received was a heavy cotton blend. Not at all what the picture showed except that it is black, long sleeved and has a skull on it. Save your money! I won't ever buy anything from a China seller again!!!!",9/10/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
"ANDI ROSE Baby Girls Toddlers Newborn Infant Cotton Lovely Dress|Baby Bloomer(2PCS)(Size L, Polka Dot--White)",Apparel,4,0,0,N,Y,"Great outfit, but you will need to sew the ...","Great outfit, but you will need to sew the two bow straps on; otherwise, you have to CONSTANTLY tie them.",6/25/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Hot! Bikini Leopard,Apparel,5,4,5,N,N,I love it,"When they said one way shipping, they meant business. It came the day after I ordered it. I love my bathing suit, it fits perfectly. and it makes my boobs look bigger.",1/6/2012,0,0,0,0,0,1,0,0,0,1,0,0,0
MapofBeauty Short Straight Light Yellow Costume Cosplay Party Wig,Apparel,1,0,1,N,Y,One Star,this wig is not light yellow--too dark,8/16/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
WallFlower Juniors Denim Overalls,Apparel,5,0,0,N,Y,love them!,These overalls are very cute. I am a size 12/14 and they fit me perfectly I ordered jxl. Hopefully you won't be disappointed super cute and comfy for me!,7/24/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
Element Men's Happy Campers T-Shirt,Apparel,2,0,0,N,Y,cool,"cool looking shirt. the design was nice and the shirt as a whole was of good quality, BUT im a standard 6'2'' male athletic 200lb build and this shirt fit like an wet suit. for my liking it was unwearable!",9/1/2013,0,0,0,0,0,1,0,0,0,1,0,0,0
French Connection Women's Starlight Knit V-Nk,Apparel,5,0,0,N,N,Gorgeous and Flattering!,"I am a HUGE fan of French Connection and would love to own more of their clothing items. This is a great, soft and flattering sweater. It is not exactly as described, it has a plunging V-Neck on it, and I think the model pictured is wearing a black tank top underneath it (which I would recommend a tank for wear at work, but not when going out). The sleeves are as pictured and it hits just at the hip, It is a great staple piece for any wardrobe and this is a GREAT price for FCUK!!",9/10/2010,0,0,0,0,0,1,0,0,1,1,0,0,0
InCharacter Costumes Baby's Lil' Lion Costume,Apparel,5,0,0,N,Y,Five Stars,"nice costume for Halloween, my son seems comfortable in it",1/20/2015,1,0,0,0,0,0,0,0,0,0,0,0,0
Exdream Women's Faux Leather Rhinstone Wrist Band Heart Pendant Bracelet Quartz Watch,Apparel,5,0,0,N,Y,Great buy!,It really is stylish for the price! Great buy!,7/15/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
Levi's Men's Oleg Brushed Back Plaid Long Sleeve,Apparel,5,0,0,N,Y,Very nice shirt!,"Very nice shirt, however it is slimmer cut than the average shirt, all I'm doing is exchanging the shirt and Amazon make it soooo simple. Thanks Amazon!",3/26/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegra K Women Round Neck Striped T Shirts Long Sleeve Casual Tops,Apparel,4,0,0,N,Y,Nice Tee,Looks great on!,8/17/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Donna Morgan Women's Rhea Short One Shoulder Dress,Apparel,5,4,4,N,Y,The dress fit like a glove,"I purchased this dress to serve as a bridesmaid in my friend's wedding. I was pleasantly surprised to find the dress on Amazon, as it was a bit cheaper than purchasing it from Nordstrom where the bride picked out the dresses. Even though the other bridesmaids ordered their dresses from Nordstrom, mine matched perfectly. The dress fit like a glove, and is true to a normal dress size. I'm a size 2 and the size 2 fit perfectly without the need for the expensive alterations that usually accompany bridesmaid dresses. The dress itself is beautiful, very elegant and classy and has a great flow to it. The wedding was outdoors at a vineyard in Virginia in mid-September, and the dress was perfect for the 70 degree day. The sterling color is medium grey in tone. I received many compliments on it throughout the day.",1/5/2015,1,0,0,0,0,1,0,0,1,1,0,0,0
Premium Classic Leopard Animal Print Fashion Scarf - Multi Colors Available,Apparel,5,1,1,N,Y,Five Stars,very cute and quality is great!,2/5/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
Camii Mia Women's Slim Fit Fleece Lined Jeans,Apparel,5,2,2,N,Y,Love it,"Very warm, but also slimming",2/21/2015,0,0,0,0,0,0,0,0,0,0,0,0,1
ZLYC Starry Galaxy Sky Neon Pattern Flatbill Snapback Adjust Baseball Cap Hat,Apparel,2,1,1,N,Y,Two Stars,Cheaper craftsmanship than i expected,7/20/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
ROLECOS Womens Cosplay Wigs Long Straight Hair Wig,Apparel,5,0,0,N,Y,Isn't easily tangled and looks more real than fake,Well done. Isn't easily tangled and looks more real than fake. Nice length too.,11/5/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
"totes ISOTONER Unisex Hooded Pullover Rain Poncho with Side Snaps, Royal Blue, One Size",Apparel,4,0,0,N,Y,Four Stars,The rain pancho works pretty good.,6/4/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Harley-Davidson Durable Garage Caddy - Wall Mount 25014,Apparel,5,0,0,N,Y,Excellent product,"Excellent product, just keep in mind it will need assembly. The finish is good, and it holds paper towel, and oils well.",6/22/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
"Fashion Womens Ladies High Waist Plain Pleated Flared Mini Skater,Black,One Size(Free Size)",Apparel,5,0,0,N,N,Love it,"So far I love it. I'm pretty small, so it's perfect on me, the waist is pretty tight, but I like that because it doesn't fall down. Love it.",2/25/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
Dopp Men's Seasoned Traveler Soft Sided Multi-Zip Travel Kit-Leather,Apparel,4,0,0,N,Y,Four Stars,"excellent for those road warriors who need space in their Dopp kit! Very functional, spacious, and well made.",1/22/2015,1,0,0,0,0,0,0,0,0,1,0,0,0
Got Drum? Embroidery Twill Cotton 6 Panel Low Profile Hat Black,Apparel,5,0,0,N,Y,For all your drummer friends,Great quality product. Fit was perfect. Really nice embroidery job. You will not be disappointed.,7/27/2015,1,0,0,0,0,0,0,0,0,1,0,0,0
Calvin Klein Men's Bomber Jacket,Apparel,5,0,0,N,Y,Five Stars,"nice jacket, met my expectations",1/11/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Sakkas Women's Seamless Stretch Boy Short Panties (6 Pack),Apparel,3,3,4,N,Y,Sakas boy shorts,I run a size 12 to 14 and these are definitely snug. Tho once they are on they are surprisingly comfortable. The fabric is itchy at first so I am in the process of washing them a few times before I wear them again. Good price. Not sure if I would order them again or not.,11/15/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
Dear-Lover Women's Bodycon Club Peplum Dress White,Apparel,1,0,0,N,Y,NO thank you,"Had to give the dress away to my cousin who is a size Xsmall. I bought it as a medium hoping it might fit me but as soon as i put it on, it might as well have been a strapless shirt. Fits nothing like the photo",6/10/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Tom's Ware Women's Casual Slim Fit and Flare Round Neckline Dress,Apparel,3,0,0,N,Y,Too Big.,"It's a pretty dress, but I listened to the reviews and sized up to a medium from my usual small and it was too huge. The color is a lovely dark red. It's stretchable so there's no need to get a bigger size.",2/26/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
American Made Apparel Short Sleeve Deep V-Neck Tee - White 6456 XL,Apparel,2,0,0,N,Y,Not much of a deep V,"I am still looking for a tee shirt with a deep v, that I can wear without it showing.",7/10/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
Velrose Daywear Double Slit 1/2 Slip (2116),Apparel,4,0,0,N,Y,Four Stars,Great opaque slip.,7/19/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Los Angeles Lakers Black Alternate Swingman Shorts By Adidas,Apparel,5,0,0,N,Y,Five Stars,Good fit but wish I should have gotten an large which is hard to find anywhere instead of medium..,6/7/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecoland Women's Organic Cotton Soft-Cup Wireless Bra - Made in USA,Apparel,5,5,5,N,Y,Eco Bra,So comfy !!! I had a problem with other sports bras breaking my skin out in a rash. Not so with this one.,4/21/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
Pretty Polly House of Holland Super Suspender Tights (HHAFE5),Apparel,5,5,6,N,N,PP suspender tights,"I purchased these tights a month ago now I'm buying 4 more. I was so excited when they arrived and even more satisfied and shocked that they actually fit me, considering I'm 5'10 with thick thighs. They are super sexy so be prepared for a lot of compliments.",6/9/2012,0,0,0,0,0,1,0,0,0,1,0,0,0
Orange Dragonfly Credit Card Case Made in the USA,Apparel,4,0,0,N,Y,Four Stars,The plastic sleeves could be a bit stronger.,4/25/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Tonka Boys' Short Sleeve T-Shirt,Apparel,4,0,0,N,Y,Nice shirt and my toddler loves the dump truck,"Nice shirt and my toddler loves the dump truck. However, it's a bit too tight. He is 21-months old and normally wears 2T and 3T sized clothing. The sleeve length was good, though.",4/8/2015,1,0,0,0,0,0,0,0,0,1,0,0,0
clubwearguru Womens Animal Print Asymmetrical One Shoulder Clubwear Tank Top,Apparel,5,1,1,N,Y,Five Stars,Great Top for the money - Recommend!,8/5/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Collar Extenders 3/Pkg,Apparel,1,0,0,N,Y,Does not work.,These collar extender tabs do not work. They are even worse than the Wonder Button. Save your money. Buy new shirts.,12/10/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
David Archy Men's 4 Pack Micro Modal Lightweight Sexy Bikinis and Briefs,Apparel,5,1,2,N,Y,Perfect hot & humid summer underwear,"I normally prefer to go commando in the summertime but for work, when I'm wearing dress pants and a dress shirt, it's not quite so feasible. In colder temps I'll happily wear boxers and in freezing cold long johns, but I really hate the traditional cotton briefs (a.k.a. &#34;tighty whiteys&#34;) as well as their skimpier cotton &#34;bikini&#34; versions.<br /><br />Had never heard of &#34;David Archy&#34; before, but these undies got my attention because of all the glowing reviews here on Amazon, and the description of the material, as well as curiosity about a penis-pouch...a feature I've never had in any of my underwear before. Plus the price wasn't as crazy as some of the others (cough cough, Calvin Klein!).<br /><br />Well, tried them out as soon as they arrived, and a couple hours later, have to say that I am most pleased! The material is soft and breathable not constricting or scratchy like the typical Hanes/Fruit-of-the-Loom or the ridiculously overprice Calvin Kleins. And that pouch, goofy-looking as it is, definitely gets the job done: provides impeccable support and comfort! Yeah I admit I would feel pretty sheepish if I were caught dead in say, a crowded gym's changing room wearing this thing, but I usually put on my gym clothes before heading out the door anyways so that's not an issue.<br /><br />My only concern with this product is long-term durability of the fabric. Have never seen briefs come in individual cardboard containers within a multi-pack, each with its own packet of dessicant beads! And then there's the care instructions on the ridiculously long rear tag (which I promptly scissored off of course): &#34;Machine Wash Cold. Wash with like colors. Tumble dry low. Cool iron. Do not wring. Do not dry clean.&#34; (Who in the world would think of ironing or dry cleaning their briefs???)<br /><br />So, will keep my fingers crossed that the material is not overly delicate. Since I plan to wear them for only a month or two out of the year, that should not be too big of a deal.<br /><br />PS. It's hilarious how many guys are using their Amazon reviews to shamelessly flaunt their stuff in the photos...is Amazon becoming a meat market pickup joint these days? lolshould not be too big of a deal.<br /><br />PS. It's hilarious how many guys are using their Amazon reviews to shamelessly flaunt their stuff in the photos...is Amazon becoming a meat market pickup joint these days? lol",7/4/2015,0,0,0,0,0,1,0,0,0,1,0,1,0
Nine West Women's Cap-Sleeve Fit-and-Flare Dress,Apparel,3,0,0,N,Y,Country casual,"I like this dress, and it is nicely made, it fits nicely, but it is a bit more country casual than I'd thought.",6/12/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
Bali Women's Satin Tracings Minimizer Underwire Bra #3562,Apparel,3,0,0,N,Y,Three Stars,Good nough,2/22/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Star Wars R2D2 Movie Team Print Mighty Fine Womens Juniors Lounge Yoga Pants,Apparel,5,1,1,N,Y,Love em! Probably a good idea to go a ...,"Love em! Probably a good idea to go a size up if you have large/athletic legs. Yoga pants stretch, but only so much. I got a large and really like them. Only complaint is the style of the waist band, which I'm not a fan of. It never stays folded nicely!",3/24/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Misfits - Mens Misfits - Welded Skull Beanie Black,Apparel,5,0,0,N,Y,Grandson likes it,Another purchase for my teenage grandson. I don't know exactly what it means. The cap is tightly knitted and looks good so I guess it's great... at least HE thinks so!,11/4/2013,1,0,0,0,0,1,0,0,0,0,0,0,0
Classroom Uniforms 55832 Girl's A-Line Skirt,Apparel,2,2,2,N,Y,Not for Juniors!,"The description clearly states Junior Sizes. I selected size 7, but received a little girls size 7. I went back to the website to see how I made the error, but the drop down list of sizes does not identify the categories. Is it me or is this not clear to the customer? I think since there is another review (which I wish I had read PRIOR to ordering) with the apparent same problem...probably not me!",10/1/2012,0,0,0,0,0,0,0,0,0,1,0,0,0
Sunsets Women's Twist Tankini,Apparel,5,0,1,N,Y,Good coverage,"This fits great in the breast and is modest enough to wear in public and not feel like a show off. I wear a 34-36G and the floating underwire hold things up pretty good. There is no padding so if you get cold, you will have peek through. It is not a tight clinging top, it blouses out a bit from under the breast to help camouflage the tummy. I am 5'9 and it is long enough for my average torso, I think a long torso could also wear this. it's a comfortable top, but getting into it takes a bit of maneuvering.",6/29/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
Sexy High Waist Short Jersey Plain Flared Pleated A-Line Skater Mini Skirt,Apparel,5,1,1,N,Y,... cute skirt but if you have a larger butt like I do it will rise up a bit so ...,Really cute skirt but if you have a larger butt like I do it will rise up a bit so I'd suggest wearing spanks under,2/3/2015,0,0,0,0,0,1,0,0,0,0,0,0,0
U.S. POLO ASSN. Little Girls' Dress Of Stripe Hooded Top and Bubble Hem Skirt,Apparel,1,0,2,N,Y,I have not see it yet,It was not delivered as expected,12/21/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
BCBGMAXAZRIA Women's Marina Strapless Lace Dress with Ruffle Hem,Apparel,3,0,0,N,Y,didnt fill my expectation,"a month ago i bought a dress from bcbg in size 8 and it fit perfectly, but this time it is a Little big.<br />I didnt like much the dress but it is probably because it was a Little big.<br />i like the texture very much but i dont feeel that it is too elegant<br />anyway i am going to wear it",12/13/2013,0,0,0,0,0,1,0,0,1,1,0,0,0
Kathos Geometric Wrap Dress,Apparel,4,0,0,N,Y,Four Stars,True to size !!,8/30/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
